abseil-cpp	Apache
addr2line	Apache-2.0 OR MIT
adler2	0BSD OR MIT OR Apache-2.0
aead	MIT OR Apache-2.0
aes	MIT OR Apache-2.0
aes-gcm	Apache-2.0 OR MIT
ahash	MIT OR Apache-2.0
aho-corasick	Unlicense OR MIT
ai-sdk-cpp	Apache
alloc-no-stdlib	BSD-3-Clause
alloc-stdlib	BSD-3-Clause
alloca	MIT
allocator-api2	MIT OR Apache-2.0
ambient-authority	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
AMQP-CPP	Apache
android_system_properties	MIT/Apache-2.0
anes	MIT OR Apache-2.0
anstream	MIT OR Apache-2.0
anstyle	MIT OR Apache-2.0
anstyle-parse	MIT OR Apache-2.0
anstyle-query	MIT OR Apache-2.0
anstyle-wincon	MIT OR Apache-2.0
antlr4-cpp-runtime	BSD 2-clause
anyhow	MIT OR Apache-2.0
ar_archive_writer	Apache-2.0 WITH LLVM-exception
arbitrary	MIT OR Apache-2.0
arboard	MIT OR Apache-2.0
arbtest	MIT OR Apache-2.0
ariadne	MIT
arraydeque	MIT/Apache-2.0
arrayref	BSD-2-Clause
arrayvec	MIT OR Apache-2.0
arrow	Apache
arrow	Apache-2.0
arrow-arith	Apache-2.0
arrow-array	Apache-2.0
arrow-array	Apache-2.0 AND MIT
arrow-buffer	Apache-2.0
arrow-cast	Apache-2.0
arrow-csv	Apache-2.0
arrow-data	Apache-2.0
arrow-ipc	Apache-2.0
arrow-json	Apache-2.0
arrow-ord	Apache-2.0
arrow-row	Apache-2.0
arrow-schema	Apache-2.0
arrow-select	Apache-2.0
arrow-string	Apache-2.0
ascii	Apache-2.0 OR MIT
async-task	Apache-2.0 OR MIT
async-trait	MIT OR Apache-2.0
atoi	MIT
atomic-waker	Apache-2.0 OR MIT
autocfg	Apache-2.0 OR MIT
avro	Apache
aws	Apache
aws-c-auth	Apache
aws-c-cal	Apache
aws-c-common	Apache
aws-c-compression	Apache
aws-c-event-stream	Apache
aws-c-http	Apache
aws-c-io	Apache
aws-c-mqtt	Apache
aws-c-s3	Apache
aws-c-sdkutils	Apache
aws-checksums	Apache
aws-crt-cpp	Apache
aws-lc-rs	ISC AND (Apache-2.0 OR ISC)
aws-lc-sys	ISC AND (Apache-2.0 OR ISC) AND Apache-2.0 AND MIT AND BSD-3-Clause AND (Apache-2.0 OR ISC OR MIT) AND (Apache-2.0 OR ISC OR MIT-0)
aws-lc-sys	ISC AND (Apache-2.0 OR ISC) AND OpenSSL
axum	MIT
axum-core	MIT
azure	MIT
backtrace	MIT OR Apache-2.0
base64	MIT OR Apache-2.0
base64ct	Apache-2.0 OR MIT
bech32	MIT
beef	MIT OR Apache-2.0
bincode	MIT
bindgen	BSD-3-Clause
bit-set	Apache-2.0 OR MIT
bit-vec	Apache-2.0 OR MIT
bitflags	MIT OR Apache-2.0
bitflags	MIT/Apache-2.0
blake3	CC0-1.0 OR Apache-2.0 OR Apache-2.0 WITH LLVM-exception
block-buffer	MIT OR Apache-2.0
block-padding	MIT OR Apache-2.0
boost	Boost
brotli	BSD-3-Clause AND MIT
brotli	MIT
brotli-decompressor	BSD-3-Clause/MIT
bstr	MIT OR Apache-2.0
bumpalo	MIT OR Apache-2.0
bytemuck	Zlib OR Apache-2.0 OR MIT
byteorder	Unlicense OR MIT
bytes	MIT
bytesize	Apache-2.0
bzip2	MIT/Apache-2.0
bzip2	bzip2
bzip2-sys	MIT/Apache-2.0
c-ares	MIT
camino	MIT OR Apache-2.0
cap-fs-ext	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
cap-net-ext	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
cap-primitives	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
cap-std	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
cap-time-ext	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT
capnproto	MIT
capstone	MIT
capstone-sys	MIT
